sentence#,token,pos,tag
1,A,DET,O
1,common,ADJ,O
1,human,ADJ,O
1,skin,NOUN,B-DiseaseClass
1,tumour,NOUN,L-DiseaseClass
1,is,AUX,O
1,caused,VERB,O
1,by,ADP,O
1,activating,VERB,O
1,mutations,NOUN,O
1,in,ADP,O
1,beta,NOUN,O
1,-,PUNCT,O
1,catenin,NOUN,O
1,.,PUNCT,O
2,WNT,PROPN,O
2,signalling,VERB,O
2,orchestrates,VERB,O
2,a,DET,O
2,number,NOUN,O
2,of,ADP,O
2,developmental,ADJ,O
2,programs,NOUN,O
2,.,PUNCT,O
3,In,ADP,O
3,response,NOUN,O
3,to,ADP,O
3,this,DET,O
3,stimulus,NOUN,O
3,",",PUNCT,O
3,cytoplasmic,ADJ,O
3,beta,NOUN,O
3,-,PUNCT,O
3,catenin,NOUN,O
3,(,PUNCT,O
3,encoded,VERB,O
3,by,ADP,O
3,CTNNB1,PROPN,O
3,),PUNCT,O
3,is,AUX,O
3,stabilized,VERB,O
3,",",PUNCT,O
3,enabling,VERB,O
3,downstream,ADJ,O
3,transcriptional,ADJ,O
3,activation,NOUN,O
3,by,ADP,O
3,members,NOUN,O
3,of,ADP,O
3,the,DET,O
3,LEF,PROPN,O
3,/,SYM,O
3,TCF,PROPN,O
3,family,NOUN,O
3,.,PUNCT,O
4,One,NUM,O
4,of,ADP,O
4,the,DET,O
4,target,NOUN,O
4,genes,NOUN,O
4,for,ADP,O
4,beta,NOUN,O
4,-,PUNCT,O
4,catenin,NOUN,O
4,/,SYM,O
4,TCF,PROPN,O
4,encodes,NOUN,O
4,c,PROPN,O
4,-,PUNCT,O
4,MYC,PROPN,O
4,",",PUNCT,O
4,explaining,VERB,O
4,why,SCONJ,O
4,constitutive,ADJ,O
4,activation,NOUN,O
4,of,ADP,O
4,the,DET,O
4,WNT,PROPN,O
4,pathway,NOUN,O
4,can,AUX,O
4,lead,VERB,O
4,to,ADP,O
4,cancer,NOUN,U-DiseaseClass
4,",",PUNCT,O
4,particularly,ADV,O
4,in,ADP,O
4,the,DET,O
4,colon,NOUN,O
4,.,PUNCT,O
5,Most,ADJ,O
5,colon,NOUN,B-DiseaseClass
5,cancers,NOUN,L-DiseaseClass
5,arise,VERB,O
5,from,ADP,O
5,mutations,NOUN,O
5,in,ADP,O
5,the,DET,O
5,gene,NOUN,O
5,encoding,VERB,O
5,adenomatous,ADJ,O
5,polyposis,NOUN,O
5,coli,NOUN,O
